kwookwilkwowit,	kwookwilkowit,
Ye:ktsikitsi:n no:, tsikitsi:n no: ixo:chiotsi:n. Iteyo a:mo niki:xmatik, pero niki:xmatik ixo:chiotsi:n, tsikitsi:n mota:lia ikechtan wa:n teyowaya wa:n, wa:n sepa mochi:wa, sepa ixwaya.	También son muy chiquitas, sus flores también son chiquitas. Sus semillas no los conocí, pero conocí sus flores, son chiquitas y se ponen en el cogollo y ahí se forman sus semillas, y otra vez se da, ya germina de nuevo.
Pos,	Pues.
Ke:mah pero yehwa sah yo:n niki:xmatok pero wa:n tikitakeh tehwa:n ke:ní:w mochi:wa yo:n xiwtsi:n.	Si pero nada más eso es lo que yo conozco pero pues nosotros lo vimos como se da esa hierba.
pos kwaltsi:n nochi tine:chilih ke:ní:w ne:n, ke:ní:w ito:ka:y wa:n ekintsi:n tiki:xmatik wa:n no: kwali.	pues es bonito todo lo que me platicaste como este, como es su nombre y ahora lo conociste y también es muy bonito. 
Ke:mah, ke:mah.	Si, si.
Mm.	Mm.
Kahwia:lia:ya, kahwia:lia:ya, mm.	Le daban aroma, le daban aroma, mm.
Ka:n se: kichi:wa kwe:ntah toni, ke:mah.	No le pone uno atención que es, si.
Pero ekintsi:n tine:chilihtok pos no: kwali tikchihchi:was ihkó:n wa:n kwali tine:chne:xtili:s, ke:masá: pos se: ki:xte:mo:s ne:wí:n xa: onkas.	Pero ahora que me estás diciendo pues también lo puedes dibujar y me lo puedes enseñar y a veces pues lo puede buscar uno por ahí a lo mejor puede haber.
Mm, ke:mah. Mm, a:mo onkak, ompa a:mo mochi:wa.	Si, si. Si, no hay, ahí no se da.
Ompa a:mo mochi:wa.	Ahí no se da.
A:mo mochi:wa, mm.	No se da, si.
Teh no: tikmatoya nika:n, ke:meh nika:n i:n xola:l ne: yetoya ne:n pos ekintsi:n, ke:meh ekintsi:n no: nowe:ita:lih ya xola:l tepitsi:n pos kiwiwitakeh yo:n, kipachohkeh.	Tu también sabías que aquí, como aquí en el pueblo había pues este, como ahora ya creció el pueblo pues arrancaron esa hierba y lo taparon.
Kipachohkeh ya.	Ya lo taparon.
Ka:n se: kita ok.	Ya no lo ve uno.
Tak ma:ski tatampa yetoya xina:ch pero ke:meh kita:lilihkeh ne:n tet pos mopachoh ya.	Pues aunque abajo estaba la semilla pero como le colocaron la piedra pues ya se tapó.
A:mo panki:sa.	No brota.
A:mo panki:sak ok.	Ya no brota.
A:mo panki:sa ok.	Ya no brota.
Mm, ke:mah.	Si, si.
Ka:n tei.	No hay.
Mm. Pos,	Si, pues.
Ka:n tei. Pos yehwa sah yo:n neh nikmati, neh nikitak ne: xiwtsí:n.	No hay. Pues eso es todo lo que yo sé, yo vi esa hierbita.
Ekintsi:n sayoh tine:chili:s ne:n moto:ka:y, ke:ní:w timono:tsa wa:n ka:n tiwa:le:w.	Ahora nada más me vas a decir tu nombre, como te llamas y de donde vienes.
Ke:na:mo.	Como no.
Ke:na:mo.	Como no.
Pos neh nimono:tsa niErnesto Vázquez wa:n niwa:le:wak San Miguel Tzinacapan.	Pues yo me llamo Ernesto Vázquez Chanico y vengo de San Miguel Tzinacapan.
Aha.	Aja.
We:noh pos ne: sepa nika:n timahsih,	Bueno pues otra vez nos encontramos acá, 
ne: nikneki nimitstahtani:s ox tiki:xmattok yo:n seki witsti ata mochi:wa, wehkapantik moskaltia,	yo te quiero preguntar si conoces a una planta con espinas que se da así, crece alto,
momahmaxalowa wa:n xo:chiowa pané: xilwa:stsitsi:n ata.	se pone sus ramas y cuando florece, sus flores son así como escobetas pequeñas si lo haz visto.
Nochi imetskowyo witsyoh wa:n a:mo wel, a:mo wel se: ki:tskia, yo:n semi se: kimowilia ata.	Todo el pedúnculo de la flor tiene espinas y no se puede agarrar con las manos porque uno le tiene mucho miedo.
Mochi:wa ka:sá: ixta:wat, mochi:wa.	Se da en algunos potreros, ahí se da.
Wa:n momahmaxalowa wa:n, wa:n nejó:n xo:chiowa no:. Kwaltsi:n moita ixo:chio pero a:mo wel se: kiteki.	Crece con muchas ramas y, también florece. Sus flores se ven muy bonitas pero no se pueden cortar con las manos.
Pos kwali a de ke nika:n tine:chilihtokwa:n timomati:ltiah ke:meh i:n tinentinemih ne:wí:n kowtah ke:meh i:n tiowih	Pues está bien que aquí me lo estás platicando, nos damos a conocer así como andamos por allá en el campo
Ke:mah.	Sí.
Mm.	Mm.
Ke:mah, yehwa sah, yehwa nimitsilia, se: taman sah.	Sí, nada más, eso es lo que te digo, que es sólo un tipo.
Nochi witsioh, nochi witsioh. A:mo weli, a:mo weli.	Todas tienen espinas. No se puede, no se puede.
A:mo wel se: 'ki:tskia, nikihto:s ke: tiktekiti ne: xo:chitsi:n.	No se puede agarrar con las manos, diría yo vas a cortar las florecitas.
Yo:n tak nio:nó: 'pipi:nah ne:n chiktehmeh, yo:n wi:tsikimeh.	Creo que esas ni siquiera los colibríes chupan la flor.
A:mo welis, ta: mowihwitswi:skeh.	No se podrá porque se van a picar con las espinas.
Pané: xilwa:s sah.	Parecen escobetas nada más.
Pané: xilwa:s wa:n yo:n xilwa:s ke:masá: ihkó:n de ke wa:ki a ihkó:n wehwetsi a.	Parecen escobetas y así de que a veces se secan pues ya se caen.
Poto:ni ke:meh yo:n seki xiwit mochi:wa ata ta:lpan panki:sa wa:n yo:n mokelpachowa de pos de, de, de selik ok.	Vuelan como una hierba que brota en el suelo y se dobla cuando la flor está tierna.
Poto:ni.	Las que están secas vuelan por el aire.
Yo:n ihkó:n moma:ahokwi wa:n no:, no: itech ixta:wat e:wi. Ihista:k.	Esa planta así se levantan las hojas y también, también se dan en el potrero.
Ista:k mochi:wa imetskowyo pero molixtik de tanto tohmiyoh.	El tallo de la flor es blanco pero se ve como algodon de tanto tener pubescencia.
Wa:n mokelpachohte:wa, ke:chchihkoltik ihkwí:n wa:n	El tallo se dobla hacia abajo y así está con la punta encorvada y
Iwki sah moskaltia xiwit sah, moso:sowa ihkwí:n, ata ma:moloxtik no:.	Así crece es una hierba, se extiende así y también  es pubescente.
A:mo witsioh, mm.	No tiene espinas, mm.
Pero, nejó:n, yehwa yo:n nimitstahtania ox tiki:xmattok no: wa:n ke:ní:w mono:tsa.	Pero este, eso es lo que te pregunto si también la conoces y cómo se llama.
Ke:mah. Telwitsioh, yo:n kwaltsi:n para se: kia:ketsas, ye:kkwaltsi:n mota pero se: kimowilia.	Sí. Tiene muchas espinas, son bonitas para que se adornara en los floreros pero se les tiene miedo.
Ke:mah, ke:mah, ye:kwitsioh. Ye:kwistsioh.	Sí. sí, tienen muchas espinas. Tienen muchas espinas.
Ke:mah, ihko:ni.	Sí, así es.
Ka:mpa ta:lkwalka:n mochi:wa wehkapantik.	En lugares planos crecen las plantas altas.
Wa:n nextik sah xiwit, ne: xiwit, nochi ikowyo, nextik sah.	Y las hojas son de color gris, las hojas y el tallo todos son de color gris.
Wa:n mahyá: potokyo. Pero kipia n' iwitsio ye:kmiak.	Y tiene asì como algodoncitos. Pero tiene muchìsimas espinas.
Itech ikowyo witsyoh wa:n itech ne: imahma:yekapan nochi witsioh.	En el tallo tiene espinas y en las puntas de las hojas todas tienen espinas.
Wa:n yo:n komo se: 'ki:tskia se: ima:ko kahkalaki ne: witsti.	Y si uno agarra con las manos ahì se meten las espinas.
Yo:n kahkalaki se: itech a komohkó:n wa:kik a.	Las espinas se entierran en la piel si ya estàn secas.
Wa:n pohposteki a:mo se: 'ki:xtia ok.	Y las espinas se quiebran adentro ya no se pueden sacar.
Kostik.	Son de color amarillo.
Wa:n yehwa yo:n se: kimowilia, a:mo se: kiteki.	Y eso es lo que se les tiene miedo, no se cortan las flores.
Pero yo:n no: kwali pahti yo:n xiwit, soh mah se: kiteki ika nehmachka:yo:t para a:mo se: mowitswi:s.	Pero esa planta tambièn es medicinal, nada màs hay que cortarlo con cuidado para evitar el peligro con las espinas.
Semi kwali pahti para yo:n, ke:meh yo:n kihtowah cha:wiskwih, cha:wis kinkwi.	Es muy buen remedio para curar a las personas que sufren de anemia, a los que padecen de anemia. 
A:mo sayoh sentaman sah, yo:n kwali pahti no:,	No solo una hierba, esa tambièn es medicinal,
Tsi:kalwits, a:.	A el tsi:kalwits.
Ohololtik sah.	Son boludas.
Witsioh.	Tienen espinas.
A:mo wel se: 'ki:tskia, yo:n no: iwa:n, iwa:n kinelowah kimanah wa:n yehwa yo:n itskwinpahwits yo:n seki mochi:wa kohkostik iteyo ata yo:n pané: ma:tahtalwayoh ata iteyo, ihkó:n pané:, pané: piotexo:chit a, ata yo:n iteyo.	No se puede agarrar con las manos, esa tambièn juntan y la hierven con el itskwinpahwits, una planta que tiene frutos de color amarillo y por encima se ven que tienen asì como venas, los frutos son asì como si fueran yemas de huevo.  
Pantahtalwayoh, xoxoktik ipantahtalwayo ne: yo:n, yo:n kowtet.	Los frutos por encima se ven asì como si tuvieran venas de color verde. 
Kinelowah miak taman, a:mo sayoh se:, a:mo o:me taman sah, e:yi taman sah.	Juntan varias plantas, no sòlo uno, no sòlo dos o tres tipos.
Yehwa yo:n kiliah tanechiko:l.	Es el que le llaman tanechiko:l.
Tanechiko:l, tanechiko:l kihto:sneki nochi kinechikowah yo:n ne:n xiwit.	Tanechiko:l, tanechiko:l quiere decir que juntan las hierbas.
Mah nochi witsioh.	Deben ser plantas que tengan espinas.
Yehwa yo:n, pahti yo:n xiwts:ín, pahti. Ke:mah.	Esa es, esa plantita es medicinal. Sì. 
Achi ihkwi:kwi:n, e:yi taman yo:n.	Son asì de grandes, de esa planta hay tres tipos.
Ima:i:xko de n', de n' ima:xiwyo. Wa:n no: ista:k iwitsio. Wa:n seki itskwinpahwits yo:n iteyo ne:, yo:n iteyo seki n' yo:n xoxoktik, yeh xoxoktik iteyo	En el haz de, de las hojas. Y sus espinas tambièn son de color blanco. Y el otro tipo de itskwinpahwits tiene sus frutos verdes, ese tiene los frutos verdes.
Yo:n no: itskwinpahwits yo:n, e:yi taman itskwinpahwits.	Ese tambièn es itskwinpahwits, son tres tipos de itskwinpahwits.
Nijó:n de nochi yo:n e:yi, nochi ye:kwitsioh. Nochiwitsioh.	Este todas de esas tres, todas tienen espinas. Todas tienen espinas.
Wa:n yo:n seko sah kinechikowah, kisemanah.	Y esas las juntan y las hierven todas juntas.
Yehwa yo:n kina:miki. Yehwa yo:n ompa pe:wa tak eski, yehwa yo:n.	Con esas hierbas se curan. Eso es que de ahì empieza uno, eso es.
Ke:mah. Ke:mah mah se:, mah se: kineltoka, mah se: kichi:wa.	Sì. Sì es importante creer, hay que hacerlo.
Pos kwaltsi:n no: tinechilih ekintsi:n de, pos se: momati:ltia ke:meh i:n tinentinemih ne:wí:n kowtah pos se: kitstinemih wa:n mah se: kineltoka seki tein te:chiliah ne:n ta:tahmeh ihkó:n pos ne:. Neh no: ne:chilia:yah tehwa:n tikiliah witsxiwit, ne:n, kikwiah pos neh nikmattok sayoh porin, ne:n, yo:n ka:mpa e:yi yo:n, xa: tiki:xmati se: chi:chi:ltik kokotsi:n ihkó:n ahwayowa wa:n ke:mah e:wa wa:n we:itia.	Pues me platicaste bonito en este momento, pues nos damos a conocer asì como andamos en el campo anda uno viendo y es importante creer como nos platicaban nuestros abuelos pues este. A mì tambièn me decìan y nosotros lo llamamos witsxiwit, esa hierba la ocupaban para curar el, lo haz de conocer un grano de color rojo que se empieza a sentir comezòn y en seguida se infecta.
Mm.	Mm.
Chi:chi:ltik, kiliah chi:chi:lkokot.	Es de color rojo el grano, le llaman erisipela.
Mm.	Mm.
Mm.	Mm.
Ke:masá: 'kaxa:nia no:.	A veces tambièn calmaba el dolor.
Ke:mah. Nochi kwaltia, nochi kwaltia soh mah se: kichi:wa sah ne: ke:meh yo:n teisá: te:iliah mah se: kichi:wa, mah a:mo se: 'kaki sah.	Sì. Se puede usar para curar varias enfermedades lo importante es hacer lo que le platican a uno, no sòlo hay que escuchar.
Para te:na:mikis, komo se: 'kaki sah, a:mo te:na:mikis iwki sah. Mm.	Para que haga efecto, si uno nada màs lo escucha, no va a dar efecto. Mm.
A:mo te:na:mikis, ta: pos yehwa yo:n kwaltsi:n nika:n timonohno:tstokeh wa:n timomati:ltiah.	No va a ser efecto, eso es como aquì estamos platicando muy bonito pues nos damos a conocer.
Mm. Mah se: kichi:wa, mah se: kichi:wa. Ke:mah.	Mm. Debemos de hacerlo, hay que hacerlo. Sì.
Ke:masá: se: kinekis pos mah se: kite:mo:ti wa:n mah se: kinechiko nijó:n xiwit wa:n mah se: kichi:wa.	Si alguna vez hace falta pues debe uno ir a buscarlas, hay que juntar las hierbas y hay que hacerlo.
Ka:n mochi:wa. Yo:n mochi:wa ka:mpa ixta:wat, ka:mpa, ka:mpa a:mo tawi:teki ompa yo:n e:wa yo:n xiwit.	No se da. Esa planta se da en el potrero, donde, donde no han chapeado, ahì nacen esas plantas.
Ke:meh ne:wí:n ne: ixta:wat mah se: kite:moti, ta: nika:n kowtah, ne:wí:n a:mo, a:mo tei. Nochi ixta:wat.	Por ahì en el potrero hay que ir a buscarlas, porque acà en el bosque no, no hay. Se da todo en el potrero.
Pos tak itech kosta:l oso a:it ke:ní:w ta: se: kitsi:ntekis.	Pues tal vez en un costal o quien sabe còmo se va a cortar en el suelo.
Nochi witsioh, nochi witsioh.	Todos tienen espinas, todos tienen espinas.
Nochi witsioh.	Todas tienen espinas.
Ke:mah.	Sì.
Kohkostia.	Se hacen amarillas.
Kohkostia.	Son amarillas.
Wa:n yo:n kohkostia no: seki, de: se: ima:ko kalaki a:mo se: kita.	Y de esas que son amarillas tambièn entran fàcilmente las espinas en la mano.
A:mo se: ki:xtia ok wa:n te:kokoh semi yo:n witsti no:	Ya no se sacan y se siente un dolor cuando se quedan las espinas en la mano.
A:mo se: ki:xtia ok.	Ya no se sacan. 
Se: taman sah, ta:taman t'to:ka:itiah.	Es una sola, es una sola con diferente nombre.
Pos yehwa yo:n nochi tinemih ihkó:n, ta:taman tikto:ka:itiah pero se:, yehwa ne:n se:, de se: taman sah, se: taman sah.	Pues eso es lo que hemos vivido, conocemos a las plantas con diferentes nombres aunque sea la misma hierba.
Ke:mah. Ke:mah.	Sì. Sì.
Pahti no:, pahti no:. Ke:mah.	Tambièn es medicinal, tambièn es medicinal. Sì.
Ke:mah.	Sì.
Wa:n semi kwaltsi:n mah tikmatika:n nochi.	Y es muy bonito saberlo todo.
Pos mah se: motapowi.	Pues debemos platicarlo.
Ke:masá: tiknekiskeh ne:wí:n wa:n tikwiti:wih nijó:n xiwtsi:n.	Algùn dia nos harà falta y vamos a traer esa plantita.
Ke:mah, ihko:ni.	Sì, asì es.
Nijó:n de n' e:yi xiwtsitsi:n pos nochi, nochi kwali para se: kichi:wa nechiko:l.	Este todos los tres tipos de hierbas todas, todas se pueden usar para juntarlas y usarlas.
A:mo se: tai tak, yo:n xa: a:chá: chichi:k eski.	No se toma en tè, creo que el agua ha de ser amarga.
Pos a:mo se: kimati pero ika ma:ltiah sah yo:n.	Pues no se sabe pero sòlo lo ocupan para bañar.
Iwa:n kimanah.	Se hierven juntas.
Nochi witsioh. Pos ihkó:n, ihkó:n tikitah yo:n, yo:n xiwtsitsi:n semi telwitsiohkeh.	Todas tienen espinas. Pues asì, asì hemos visto esas plantas que tienen muchas espinas.
Telwitsioh.	Tienen muchas espinas.
Witsioh, yo:n yehwa yo:n itskwinpahwits e:yi taman wa:n yehwa ya tsi:ka:lwits, ye:kwitsioh semi.	Tienen espinas, ese que es el itskwinpahwits son tres tipos y tambièn el tsi:ka:lwits tambièn tiene muchas espinas.
Yehwa yo:n.	Eso es.
Witsioh.	Tiene muchas espinas.
Ke:mah, witsyoh semi, pos yehwa sah yo:n.	Sì tienen muchas espinas, pues es todo.
Yehwa yo:n, no: kwali a ke tine:chilia wa:n no: n'mattok neh.	Eso es, què bueno que me platicaste y yo tambièn ya lo sè.
Ke:mah.	Sì. 
Ke:mah.	Sì.
Ne: miak taman ya.	Ya muchas plantas diferentes.
Ke:mah.	Sì.
Mah se: kichi:wa. Ke:mah.	Debemos hacerlo. Sì.
Yo:n xiwtsi:n ke:mah, mah se: kichi:wa wa:n,	Esas hierbitas sì, hay que llevarlo a la pràctica y,
Yema:nka:toto:nik ika kina:ltiah. We:noh ma:ltiah tein mokokowa, yema:nka:toto:nik, ke:mah.	El agua debe ser tibia para bañar al paciente. Bueno se baña el enfermo con agua tibia, sì.
Ke:mah, pos yehwa sah, yehwa sah tein, ne:n, nikmati neh. Yehwa sah yo:n.	Sì, pues es todo, es todo lo que, lo que yo sè. Es todo eso.
Yehwa sah, yehwa sah.	Es todo, es todo.
A:, yehwa sah.	A es todo.
A: we:noh, neh, neh nimono:tsa, ne:n, Anastacio Nicolás Damián, niwale:w San Miguel Tzinacapan no:. Tasohka:matik.	A bueno, yo me llamo Anastacio Nicolàs Damiàn, tambièn vengo de San Miguel Tzinacapan. Gracias.
Pos a:man que nika:n timona:mikkeh sepa ne:,	Pues ahora que acà nos encontramos nuevamente este,
nikneki nimitstahtani:s ox tiki:xmati yo:n seki xiwit mochi:wa ata,	quiero preguntarte si conoces una planta que se da,
itech tepe:ke:s itech tepehxite:n mochi:wa yo:n kiliah tepe:li:listo:n.	en la superficie de los riscos y le llaman tepe:li:listo:n.
Wa:n pos yo:n mochi:wa ne: [i]tech, [i]tech tepe:t	Y esa planta se da en la superficie de los riscos.
Itech tepe:t.	Si en los riscos.
itech n' ta:ltsi:n, itech n' tepe:t.	en el suelo, siempre en los riscos.
ka:mpa wehkapan itech se: tepe:t ompa, ompa mochi:wa.	se da en los altos de los riscos, ahì se da.
Ke:mah.	Sì.
Mochi:wa wehweyi n' ixiwyo,	Sus hojas crecen grandes,
we:weyakaxtik.	alargadas, largas.
Wa:n nijó:n ompa e:wia nijó:n tepe:li:listo:n.	Ahì nacen las matas de tepe:li:listo:n.
Weyakaxtik ihkó:n pero pitsa:wak.	Son largas las hojas pero delgadas.
Mm. Ke:mah. Ke:mah.	Mm. Sì. Sì.
A:mo nikmati pero teh nijó:n xa: tikmati xa:, xa: no kwali tine:chili:s para toni nijó:n.	No lo sè pero usted tal vez sepa, creo que me puedes platicar para què se usa esa planta.
Ke:mah pos yo:n xiwit neli ka:n, ka:n nejó:n,	Sì pues es cierto que esa planta no, no este,
Ika taa:ketsah nió:n ixiwyo a:mo teh ika tachihchi:wah nió:n tei pos i:pa sayoh xiwit sah yo:n tikitah wa:n	No lo usan para adornar, las hojas tampoco se usan, no tiene ningùn uso sòlo vemos como una hierba y
itech ka:sá: ta:lpan yo:n mochi:wa, semi itech tepe:t.	alguna parte del suelo, se da solo en los riscos.
Wa:n iwki kitoka:ytiah porin ye:kma:we:weyakaxtik ma:we:weyak n' ima:wa:n.	Y asì le llaman tambièn porque sus hojas son muy largas, tiene las hojas muy largas.
Wa:n ima:tsi:ntan ne: witsyoh.	Y al pie de las hojas tienen espinas.
pitsaktik sah no: iwki no: ne: xiwit.	es delgadita, y es igual esta planta.
Ihkwi no:.	Tambièn es parecida.
Ke:mah ikxitan witsyoh wa:n pitsa:wak n' ima:tsi:ntan yehwa yo:n xiwit ompa motekpa:na n' iwitsyo komo se: kikitskia ta itsi:ntan ne: ika ima:tsi:ntan te:ma:witswih ata yo:n xiwit.	Sì al pie de la hoja tiene espinas, es delgada la hoja y ahì se van formando las espinas, si uno agarra con las manos al pie de las hojas se sienten como pican las espinas.
Witsyoh, witsyoh n' ima:tsi:ntan.	Tiene espinas al pie de la hoja.
Ke:mah, wa:n nejó:n,	Sì, este,
neli n' iteyo mochi:wa de, de chika:waya motamia yo:n xiwit,	es cierto que las semillas de, despuès de que madura la planta
Moskaltia, moskaltia hasta ka:ni motamiti we:i.	La planta crece, crece hasta llegar a ser grande.
Kostik, kostik ne:, kostik a:chi:petik n' ixo:chio.	Sus flores son amarillas, amarillas, amarillas pero de color bajo.
Yo:n a:mo teh ta:ki yo:n i:pa sayoh yo:n xo:chiowa sah wa:n ompa tami.	Esa no da semillas, florece la planta y ahì se acaba. 
Oksé: taman. A:mo, a:mo no: tikmati. Se: taman sah	Otro tipo. No, no lo conoces. Es sòlo un tipo.
nochi se: taman sah n' ixo:chio ke:meh yo:n tikita n' ixo:chio wa:n chi:chi:ltik ne:n iyo:lkowyo pero ixo:chio ne: kostik.	las flores son de un sòlo color asì como la haz visto y el tallo central de la planta es de color rojo pero las flores son amarillas.
Kostik n' ixo:chio.	Las flores son amarillas.
Tak a:tox se: ka:ketsa pos ka:n ixo:chiotsi:n mochi:wa o:me sah oso se:, se: sah motekpa:ntiw pero	Yo creo que no se pueden usar para adornar porque las flores brotan sòlo uno o dos pero
sehse:sah poso:ni yo:n.	van brotando uno por uno.
sehse:tsi:n poso:ntiw yo:n ke:meh moskaltihtiw ne:n,	las flores van brotando uno por uno asì como van creciendo,
Tami poso:ni ke:mah teyowa ya.	Despuès de abrirse las flores ya producen las semillas.
Wa:ki.	Ya se secan.
Wa:ki moka:wa sayoh, ne:, iyo:lpayo sah pero sepa nejó:n mokelpachowa ompa tami yo:n xiwit.	Se seca la planta y sòlo queda el tallo pero se dobla hacia abajo y ahì se acaba.
Wa:ki a.	Ya se seca.
Ke:mah.	Sì.
Me:skiaposteki.	Como si se quebrara el tallo.
Tsikitsitsi:n pihpitsaktik sah.	Son chiquitas y son delgadas las hojas.
Tsikitsitsi:n ne:n ixo:chio. Tsikitsitsi:n wa:n	Son pequeñas las flores. Son pequeñas y
ne:wí:n se: kahsi eliwis yo:n se: kahsi pero wehka:wa se: kite:mowa.	se encuentra en cualquier lugar, esa planta se encuentra pero tarda uno buscàndolo.
Itech tepe:t mochi:wa ka:mpa owihka:n.	Se da en los riscos en lugares difìciles.
Ke:mah ompa mochi:wa ta.	Sì ahì se da.
Itech tepe:t ka:mpa, ka:mpa owihka:n.	En los cerros, en lugares difìciles de entrar.
Pos neh nikitaka, nijó:n,	Pues yo he visto que este,
Ke:mah.	Sì.
ke:man itech tepe:t pero ye:kwehkapan.	Sì en el cerro pero en las alturas.
A:n ta: owihka:n mochi:wa.	No porque se da en lugares difìciles. 
Owihka:n.	Si son difìciles.
Se: kiteki ika se:, ika se: komaxal komohkó:n a:mo se:,	Se corta con un, con un palo bifurcado si uno no,
Ke:mah.	Sì.
se: ahsi. Wa:n komo se: ahsi pos se: kitila:na wa:n se: kimetsteki.	alcanza. Y si uno alcanza pues se jala y se corta en el tallo.
Mah sayoh se: kwiwita a:mo wiwiti.	Si uno lo quiere arrancar, no arranca.
Yo:n a:mo ta: ye:ktakwa:wak.	Esa planta no porque es muy dura.
Ke:mah.	Sì.
Ke:mah takwa:wak.	Sì es dura.
Tak takwa:wak wa:n,	Debe ser dura y,
para teisá: pahti.	para curar alguna enfermedad.
A:mo a:kin kiteki. Ke:mah ma:wilowa ya. .	Nadie la corta. Sì ahì se echa a perder.
Neh noto:ka:y niErnesto Vásquez wa:n niwa:le:wak ne: San Miguel Tzinacapan. Tasohka:matik.	Yo me llamo Ernesto Vàzquez y vengo de San Miguel Tzinacapan. Gracias.
Ke:mah.	Sí.
moskaltia wa:n a:mo semi telwehkapania.	crece y no se desarrolla tan alta.
We:wehka sah mota:lia n' iteyo ata.	Las semillas salen muy dispersas.
we:wehka mota:lia,	Salen muy dispersas,
Ke:mah.	Sí.
yo:n chapolistit, nijó:n,	el chapolistit, este,
Ke:mah.	Sí.
We:wehka.	Muy dispersas.
